var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_total_emissions,3.2468059e-16,1.8484824e-16,1.7564712,.084286489,-4.5333372e-17,6.9469455e-16,3086,.22475842
logsize,-.0052191853,.0056036231,-.93139476,.35551023,-.016436055,.0059976857,3086,.22475842
winsor_bm,-.029189575,.012099331,-2.4124949,.019026645,-.053409018,-.0049701314,3086,.22475842
winsor_leverage,-.015147073,.010617567,-1.4266049,.15905491,-.036400445,.0061062975,3086,.22475842
winsor_mom,.026226947,.10711713,.24484363,.80744171,-.18819129,.24064519,3086,.22475842
winsor_investa,.15116444,.04814022,3.1400862,.002657003,.054801319,.24752757,3086,.22475842
winsor_roe,.0097029861,.028322849,.34258509,.73314911,-.046991359,.066397332,3086,.22475842
logppe,.0013967755,.0050742575,.27526698,.78408939,-.0087604551,.011554006,3086,.22475842
beta,.0037186185,.0044116145,.84291559,.40273839,-.0051121879,.012549425,3086,.22475842
winsor_volat,.00663816,.0077966978,.85140657,.39804521,-.0089686271,.022244947,3086,.22475842
winsor_salesgr,.0064962204,.0045625209,1.4238226,.15985557,-.0026366578,.015629098,3086,.22475842
winsor_epsgr,.000098762961,.000066134315,1.4933693,.14076093,-.000033619257,.00023114518,3086,.22475842
_cons,.11738797,.051039226,2.2999558,.025068162,.015221857,.21955408,3086,.22475842
