var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_total_emissions,2.7267245e-16,1.3795616e-16,1.9765152,.052776948,-3.3771958e-18,5.4872208e-16,3087,.21897508
logsize,-.0077802259,.0024218352,-3.2125332,.0021326581,-.012626307,-.0029341448,3087,.21897508
winsor_bm,-.023702832,.0088657355,-2.6735325,.0096928682,-.041443128,-.0059625362,3087,.21897508
winsor_leverage,-.015362189,.012245629,-1.2545038,.21460606,-.039865635,.009141258,3087,.21897508
winsor_mom,.093328379,.088568039,1.0537478,.29629478,-.083895862,.27055261,3087,.21897508
winsor_investa,.096421726,.046709016,2.0643065,.043394089,.0029572002,.18988626,3087,.21897508
winsor_roe,.01904024,.023240406,.81927311,.4159278,-.027463706,.065544188,3087,.21897508
logppe,.0061091315,.0020598623,2.9657962,.0043525491,.0019873567,.010230906,3087,.21897508
beta,.002249121,.0033940584,.66266418,.51012617,-.0045423745,.0090406165,3087,.21897508
winsor_volat,.010222811,.0077016097,1.3273603,.18950306,-.0051880744,.025633696,3087,.21897508
winsor_salesgr,.0053171576,.004920105,1.0807,.28422832,-.0045279497,.015162265,3087,.21897508
winsor_epsgr,.00011222827,.00006537795,1.7166073,.091297254,-.000018592706,.00024304925,3087,.21897508
_cons,.065896288,.031001698,2.1255703,.037735518,.0038620322,.12793054,3087,.21897508
