var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
energy_consumption_int,-2.7886779e-08,1.7159908e-07,-.16251123,.87139243,-3.7039999e-07,3.1462642e-07,3560,.22549126
logsize,-.0076590516,.0025091954,-3.0523934,.0032535181,-.012667427,-.0026506765,3560,.22549126
winsor_bm,-.026193006,.0079486081,-3.2952948,.0015739673,-.042058494,-.010327517,3560,.22549126
winsor_leverage,-.013577309,.010842522,-1.2522279,.21484047,-.035219073,.0080644554,3560,.22549126
winsor_mom,-.0041993097,.098837793,-.042486884,.96623695,-.20148037,.19308175,3560,.22549126
winsor_investa,.096665107,.043094076,2.2431183,.028200746,.010648969,.18268125,3560,.22549126
winsor_roe,.010390347,.019123806,.54332006,.58871263,-.02778093,.048561625,3560,.22549126
logppe,.0065181227,.0021534106,3.0268834,.0035044472,.0022198972,.010816349,3560,.22549126
beta,.0023589781,.0032463265,.72666079,.46996504,-.0041207168,.0088386731,3560,.22549126
winsor_volat,.012953517,.0087572448,1.4791772,.1437795,-.0045260172,.030433051,3560,.22549126
winsor_salesgr,.0061245859,.0052915318,1.1574316,.25120574,-.0044373558,.016686527,3560,.22549126
winsor_epsgr,.00012595044,.000067484558,1.8663594,.066368319,-8.7493090e-06,.00026065018,3560,.22549126
_cons,.057203893,.029534465,1.9368522,.056981809,-.0017471469,.11615493,3560,.22549126
