var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_scope2,-.00021507281,.0027832482,-.077274032,.93863583,-.0057704598,.005340314,3534,.23235817
logsize,-.0055301865,.0051507959,-1.0736567,.28682828,-.015811218,.0047508455,3534,.23235817
winsor_bm,-.030062744,.010682046,-2.8143244,.0064108511,-.051384199,-.0087412903,3534,.23235817
winsor_leverage,-.0096327756,.0132508,-.72695804,.46978411,-.036081482,.016815932,3534,.23235817
winsor_mom,-.045660283,.11248337,-.40592918,.68608814,-.27017805,.17885748,3534,.23235817
winsor_investa,.15600097,.047477078,3.2858167,.0016202078,.061236326,.25076562,3534,.23235817
winsor_roe,.00032653843,.02153061,.015166242,.9879446,-.04264874,.043301817,3534,.23235817
logppe,.0029852863,.0048013381,.62176132,.53620887,-.0065982249,.012568797,3534,.23235817
beta,.0036271736,.0046456107,.78077435,.43768519,-.0056455042,.012899851,3534,.23235817
winsor_volat,.010372062,.0096021984,1.0801758,.28393695,-.008794006,.02953813,3534,.23235817
winsor_salesgr,.0064011435,.0045929165,1.393699,.1680143,-.0027663563,.015568643,3534,.23235817
winsor_epsgr,.00011087297,.000066147484,1.6761479,.098370001,-.000021157963,.0002429039,3534,.23235817
_cons,.09370023,.050161418,1.8679742,.066139534,-.0064223805,.19382285,3534,.23235817
