var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_scope2,-.00067318382,.0013803814,-.48767957,.62736887,-.0034284368,.0020820692,3534,.2277431
logsize,-.0071962308,.0025273226,-2.8473732,.0058467533,-.012240788,-.0021516737,3534,.2277431
winsor_bm,-.025363171,.0087091448,-2.912246,.0048702569,-.042746697,-.0079796454,3534,.2277431
winsor_leverage,-.013983972,.011247545,-1.243291,.21809366,-.036434166,.0084662233,3534,.2277431
winsor_mom,.0088539161,.097154729,.091132119,.92765951,-.18506774,.20277557,3534,.2277431
winsor_investa,.099640265,.047868695,2.081533,.041209146,.0040939478,.19518659,3534,.2277431
winsor_roe,.0096331118,.019208055,.5015142,.61765325,-.028706327,.047972552,3534,.2277431
logppe,.006581659,.0020584855,3.1973307,.0021179998,.0024729045,.010690413,3534,.2277431
beta,.0023403578,.0033304403,.70271724,.48466647,-.0043072291,.0089879446,3534,.2277431
winsor_volat,.013216849,.0086355787,1.5305111,.13059841,-.0040198383,.030453537,3534,.2277431
winsor_salesgr,.0059309029,.0050706095,1.1696627,.24628092,-.0041900761,.016051883,3534,.2277431
winsor_epsgr,.00012593002,.00006555341,1.9210293,.058984224,-4.9151367e-06,.00025677518,3534,.2277431
_cons,.052893929,.03298809,1.603425,.11354505,-.012950576,.11873844,3534,.2277431
