var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
scope1_int,-2.0129047e-08,1.1770208e-07,-.17101692,.86472589,-2.5506338e-07,2.1480530e-07,3560,.2254907
logsize,-.0075716767,.0023731322,-3.1905837,.002161324,-.012308468,-.0028348851,3560,.2254907
winsor_bm,-.026178334,.0082222074,-3.1838572,.0022053423,-.042589929,-.0097667389,3560,.2254907
winsor_leverage,-.013407787,.011285221,-1.1880836,.238995,-.035933185,.0091176089,3560,.2254907
winsor_mom,-.0035694588,.099839687,-.035751902,.97158647,-.20285031,.19571139,3560,.2254907
winsor_investa,.096195273,.042783458,2.2484221,.027843278,.010799132,.18159142,3560,.2254907
winsor_roe,.01047383,.018937347,.553078,.5820508,-.027325274,.048272934,3560,.2254907
logppe,.0063835103,.0021025802,3.0360365,.0034124106,.0021867426,.010580278,3560,.2254907
beta,.0023810999,.0032746685,.72712702,.46968129,-.004155166,.0089173652,3560,.2254907
winsor_volat,.013037723,.0091758212,1.4208781,.15998971,-.0052772928,.03135274,3560,.2254907
winsor_salesgr,.0061986344,.0051362165,1.2068484,.23173429,-.004053297,.016450565,3560,.2254907
winsor_epsgr,.00012362677,.000068377092,1.8080144,.075092547,-.00001285448,.00026010803,3560,.2254907
_cons,.057862401,.033630718,1.7205224,.089953229,-.0092647932,.1249896,3560,.2254907
