var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
total_emissions_int,-3.4403025e-12,1.2714871e-12,-2.7057312,.0086353179,-5.9782014e-12,-9.0240348e-13,3560,.23107575
logsize,-.0054325224,.0052076015,-1.0431908,.30060938,-.015826939,.0049618939,3560,.23107575
winsor_bm,-.02911821,.010273357,-2.8343422,.0060634776,-.049623918,-.0086125033,3560,.23107575
winsor_leverage,-.013566002,.012242062,-1.1081468,.27176067,-.038001262,.010869256,3560,.23107575
winsor_mom,-.06621404,.11360248,-.58285731,.56194603,-.29296556,.16053747,3560,.23107575
winsor_investa,.16775842,.046140336,3.6358302,.00053878222,.07566192,.25985491,3560,.23107575
winsor_roe,-.002085157,.021483198,-.097059898,.92296857,-.0449658,.040795486,3560,.23107575
logppe,.0032264839,.004614003,.69928086,.48679715,-.0059831049,.012436072,3560,.23107575
beta,.0026708792,.0047223945,.56557733,.57357037,-.0067550601,.012096819,3560,.23107575
winsor_volat,.013858573,.010206948,1.3577588,.17909563,-.0065145814,.034231726,3560,.23107575
winsor_salesgr,.0059153885,.0046876231,1.2619164,.21135424,-.0034411466,.015271924,3560,.23107575
winsor_epsgr,.00010615835,.000066343498,1.600132,.11427455,-.000026263826,.00023858053,3560,.23107575
_cons,.086966999,.047035493,1.8489654,.068875171,-.0069162399,.18085024,3560,.23107575
