var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
total_emissions_int,-2.9438448e-12,7.6019350e-13,-3.872494,.00024713427,-4.4611975e-12,-1.4264922e-12,3560,.22633801
logsize,-.007916702,.0022627618,-3.4986899,.00083574181,-.012433194,-.0034002103,3560,.22633801
winsor_bm,-.025158195,.0081132036,-3.1008954,.0028219614,-.041352216,-.0089641726,3560,.22633801
winsor_leverage,-.015402018,.011070522,-1.391264,.16874808,-.037498873,.0066948361,3560,.22633801
winsor_mom,-.0066641639,.09778101,-.06815397,.94586605,-.20183589,.18850756,3560,.22633801
winsor_investa,.11010401,.043747764,2.5167916,.014242877,.022783104,.19742492,3560,.22633801
winsor_roe,.0083934013,.018961061,.44266516,.65943378,-.029453035,.046239838,3560,.22633801
logppe,.0076781204,.0020482528,3.7486193,.0003728685,.0035897905,.01176645,3560,.22633801
beta,.0015042216,.0033364962,.45083869,.65356153,-.005155453,.0081638964,3560,.22633801
winsor_volat,.017021989,.0091352854,1.8633232,.066800274,-.0012121169,.035256095,3560,.22633801
winsor_salesgr,.0060692341,.0051778341,1.1721569,.24528518,-.0042657661,.016404234,3560,.22633801
winsor_epsgr,.00012457735,.000065785585,1.8936876,.062585145,-6.7312349e-06,.00025588591,3560,.22633801
_cons,.040132776,.029661724,1.3530157,.18059865,-.019072276,.099337824,3560,.22633801
