yearmonth,ticker,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons,_fitted,_residuals
201712,1AL,-.015624986,.007001387,-.021437757,-.062863529,-.012394103,-.031940065,-.026980642,-.01985299,1AL,2017m12,-.015624986,.007001387,-.021437757,-.062863529,-.012394103,-.031940065,-.026980642,-.01985299,21,.419552051161434,.1070031556329751,-.9318358614703111,-.0023319173819327,.6177709644416439,-.0737815832608957,.2564750250655328,-.0299146931182363,-.3660006397908607,-.0045252305008407,-.0490386933567009,.0334137073265395
201707,1AL,-.032967065,-.0068608876,-.036646098,-.012184249,-.049936395,-.016036509,-.024415174,-.016263546,1AL,2017m7,-.032967065,-.0068608876,-.036646098,-.012184249,-.049936395,-.016036509,-.024415174,-.016263546,16,.5359079371861748,.1298273822240777,-.7938012925534605,.2156863518599641,1.16653286164824,-.0424106275709607,-.3882453309768572,-.1769280855187447,-.0366549762052745,-.0148561975554342,-.0182676029442481,-.0146994615854093
201608,1AL,.10614529,-.028027646,.014278733,.019984802,-.002338941,-.0053421347,-.018956615,-.023067629,1AL,2016m8,.10614529,-.028027646,.014278733,.019984802,-.002338941,-.0053421347,-.018956615,-.023067629,,,,,,,,,,,,,
201710,1AL,-.010204071,.026805814,.038899921,.034609057,.01295041,.014993679,.044825401,.00045764475,1AL,2017m10,-.010204071,.026805814,.038899921,.034609057,.01295041,.014993679,.044825401,.00045764475,19,.4978028474656526,.1782228413074315,-1.195736506108174,-.249431800862536,1.313184213006316,-.09122117888387,.1251914764390976,.0850013804965941,-.1691266943672368,-.0150081808969446,-.0068871315858056,-.0033169395932267
201703,1AL,-.030769262,.0095124133,-.018180847,-.0049048662,.022652851,.010583779,.02476494,-.0046841111,1AL,2017m3,-.030769262,.0095124133,-.018180847,-.0049048662,.022652851,.010583779,.02476494,-.0046841111,12,.5656078638737784,-.1945783743471095,-.6554126154525517,.1834836435645424,1.665366820408465,-.9806149538471876,-.1581933658596871,.257538445448094,-.4761164713086106,-.0160996629645091,-.0491184099910793,.018349147528225
201606,1AL,-.040404063,-.033280458,-.017171076,-.014733019,-.015318152,-.029458875,.010135147,.0075781643,1AL,2016m6,-.040404063,-.033280458,-.017171076,-.014733019,-.015318152,-.029458875,.010135147,.0075781643,,,,,,,,,,,,,
201605,1AL,.010204072,.008400552,.060728043,.035465065,.062524989,.040538803,.093178816,.0074857972,1AL,2016m5,.010204072,.008400552,.060728043,.035465065,.062524989,.040538803,.093178816,.0074857972,,,,,,,,,,,,,
201705,1AL,-.0052631525,.0074018505,-.0048718117,.010278859,-.0096879192,.0094761746,.0044593965,-.04643647,1AL,2017m5,-.0052631525,.0074018505,-.0048718117,.010278859,-.0096879192,.0094761746,.0044593965,-.04643647,14,.5256071090546596,-.0278512637149042,-.6736341387684197,.2928225680573078,1.273428450891852,-.5672763265533837,-.1903220865763006,-.0083378994293286,-.15234965093817,-.0155503800842869,.0018558958727066,-.007119048404986
201604,1AL,0,.026917666,.017465761,.019766362,.005062521,.01206435,-.0061404053,.0026698238,1AL,2016m4,0,.026917666,.017465761,.019766362,.005062521,.01206435,-.0061404053,.0026698238,,,,,,,,,,,,,
201706,1AL,-.037037004,-.011841519,-.044342823,-.040371813,.0089268079,-.03979069,-.023228679,.028586831,1AL,2017m6,-.037037004,-.011841519,-.044342823,-.040371813,.0089268079,-.03979069,-.023228679,.028586831,15,.5358095774072504,.0716191548145009,-.742947882807127,.2546883808199016,1.057913663175558,-.2029316093733249,-.3122555376123626,-.1424047470331646,-.1056882592989599,-.0119296495827981,-.0462355990637249,.0091985952783531
