yearmonth,ticker,industry,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr
202102,ABC,206,.13240418,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,-.00077942718,-.061544526,.095799997,20.872375,1.4344,.061915129,.061513208,1.0861539,ABC,2021m2,.68952036,.2819221,-.00077942718,-.061544526,.095799997,.061915129,.061513208,1.0861539
202101,ABC,206,-.14328358,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.015496131,-.061544526,.095799997,20.872375,1.4344,.062217347,.069658123,1.2299652,ABC,2021m1,.68952036,.2819221,.015496131,-.061544526,.095799997,.062217347,.069658123,1.2299652
202005,ABC,206,-.0036630037,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.025952082,-.064251728,.093199998,20.855871,1.4132,.40406999,-.035397034,2.5992646,ABC,2020m5,.5592441,.26134062,-.025952082,-.064251728,.093199998,.40406999,-.035397034,2.5992646
202010,ABC,206,-.007017544,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,.012679782,-.064251728,.093199998,20.855871,1.4132,.091983989,-.034021161,2.4982333,ABC,2020m10,.5592441,.26134062,.012679782,-.064251728,.093199998,.091983989,-.034021161,2.4982333
202111,ABC,206,-.03691275,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.007568337,-.061544526,.095799997,20.872375,1.4344,.32129544,.06961944,1.2299652,ABC,2021m11,.68952036,.2819221,.007568337,-.061544526,.095799997,.32129544,.06961944,1.2299652
202107,ABC,206,.020172911,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.016406102,-.061544526,.095799997,20.872375,1.4344,.13660926,.056442887,.99717516,ABC,2021m7,.68952036,.2819221,.016406102,-.061544526,.095799997,.13660926,.056442887,.99717516
202110,ABC,206,-.077399381,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.01343349,-.061544526,.095799997,20.872375,1.4344,.3211484,.067049563,1.1845638,ABC,2021m10,.68952036,.2819221,.01343349,-.061544526,.095799997,.3211484,.067049563,1.1845638
202003,ABC,206,-.31,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.034388766,-.064251728,.093199998,20.855871,1.4132,.41136667,-.046550587,3.4154589,ABC,2020m3,.5592441,.26134062,-.034388766,-.064251728,.093199998,.41136667,-.046550587,3.4154589
202106,ABC,206,.045180723,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.026734179,-.061544526,.095799997,20.872375,1.4344,.062372718,.057581406,1.0172911,ABC,2021m6,.68952036,.2819221,.026734179,-.061544526,.095799997,.062372718,.057581406,1.0172911
202006,ABC,206,.16911764,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.022023305,-.064251728,.093199998,20.855871,1.4132,.40084234,-.030276587,2.2232704,ABC,2020m6,.5592441,.26134062,-.022023305,-.064251728,.093199998,.40084234,-.030276587,2.2232704
202103,ABC,206,.070769228,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.024906268,-.061544526,.095799997,20.872375,1.4344,.062940232,.0574161,1.0143678,ABC,2021m3,.68952036,.2819221,.024906268,-.061544526,.095799997,.062940232,.0574161,1.0143678
202104,ABC,206,-.074712642,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.056637038,-.061544526,.095799997,20.872375,1.4344,.059644081,.062052097,1.0962733,ABC,2021m4,.68952036,.2819221,.056637038,-.061544526,.095799997,.059644081,.062052097,1.0962733
202012,ABC,206,.084142394,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,.0072971806,-.064251728,.093199998,20.855871,1.4132,.077372804,-.028740235,2.1104476,ABC,2020m12,.5592441,.26134062,.0072971806,-.064251728,.093199998,.077372804,-.028740235,2.1104476
202004,ABC,206,.31884059,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.05567028,-.064251728,.093199998,20.855871,1.4132,.40336242,-.035267226,2.5897436,ABC,2020m4,.5592441,.26134062,-.05567028,-.064251728,.093199998,.40336242,-.035267226,2.5897436
202112,ABC,206,-.017421603,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,-.0031637917,-.061544526,.095799997,20.872375,1.4344,.32129484,.070853777,1.251773,ABC,2021m12,.68952036,.2819221,-.0031637917,-.061544526,.095799997,.32129484,.070853777,1.251773
202105,ABC,206,.031055901,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.023840936,-.061544526,.095799997,20.872375,1.4344,.060972277,.060183134,1.063253,ABC,2021m5,.68952036,.2819221,.023840936,-.061544526,.095799997,.060972277,.060183134,1.063253
202011,ABC,206,.091872789,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,.011275314,-.064251728,.093199998,20.855871,1.4132,.32406291,-.031158522,2.2880259,ABC,2020m11,.5592441,.26134062,.011275314,-.064251728,.093199998,.32406291,-.031158522,2.2880259
202109,ABC,206,-.058309037,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.028096497,-.061544526,.095799997,20.872375,1.4344,.32176185,.061859876,1.0928793,ABC,2021m9,.68952036,.2819221,.028096497,-.061544526,.095799997,.32176185,.061859876,1.0928793
202007,ABC,206,-.30503145,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.0065108663,-.064251728,.093199998,20.855871,1.4132,.38502085,-.04356543,3.199095,ABC,2020m7,.5592441,.26134062,-.0065108663,-.064251728,.093199998,.38502085,-.04356543,3.199095
202008,ABC,206,.15384616,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.021616623,-.064251728,.093199998,20.855871,1.4132,.16432762,-.037756722,2.7725489,ABC,2020m8,.5592441,.26134062,-.021616623,-.064251728,.093199998,.16432762,-.037756722,2.7725489
202002,ABC,206,-.17582418,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.014330338,-.064251728,.093199998,20.855871,1.4132,.42401758,-.032119971,2.3566666,ABC,2020m2,.5592441,.26134062,-.014330338,-.064251728,.093199998,.42401758,-.032119971,2.3566666
202009,ABC,206,.11764706,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,.0017971111,-.064251728,.093199998,20.855871,1.4132,.32368317,-.033782329,2.4807017,ABC,2020m9,.5592441,.26134062,.0017971111,-.064251728,.093199998,.32368317,-.033782329,2.4807017
202001,ABC,206,.05202312,14.56934,12.24255885410058,28.38485,16.474852,,,,,1457.859,142.30089,1457859072,9800.9648,21.504925,.5592441,.26134062,-.014762398,-.064251728,.093199998,20.855871,1.4132,.42533576,-.026472535,1.9423077,ABC,2020m1,.5592441,.26134062,-.014762398,-.064251728,.093199998,.42533576,-.026472535,1.9423077
202108,ABC,206,-.031073445,14.553789,12.19155781317192,28.369301,16.467058,-32790,-10314,-32790010314,-110917,1317.5059,124.12191,1317505920,8926.3584,21.333254,.68952036,.2819221,.043506466,-.061544526,.095799997,20.872375,1.4344,.28916189,.058253035,1.0291545,ABC,2021m8,.68952036,.2819221,.043506466,-.061544526,.095799997,.28916189,.058253035,1.0291545
201108,ABY1,54,-.18791947,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.050846219,-.021678068,.1083,19.760269,4.3499999,.14543873,.14133158,-1.0661157,ABY1,2011m8,1.1434494,.0076266979,.050846219,-.021678068,.1083,.14543873,.14133158,-1.0661157
201109,ABY1,54,-.28099173,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.036122594,-.021678068,.1083,19.760269,4.3499999,.14262581,.19738106,-1.4827586,ABY1,2011m9,1.1434494,.0076266979,.036122594,-.021678068,.1083,.14262581,.19738106,-1.4827586
201103,ABY1,54,.11278196,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.044071477,-.021678068,.1083,19.760269,4.3499999,.63812488,.11602665,-.87162161,ABY1,2011m3,1.1434494,.0076266979,.044071477,-.021678068,.1083,.63812488,.11602665,-.87162161
