asx500_name,morningstar_name,match_score
a2b australia,a2b australia,100
abacus property,abacus property,100
acer energy,acer energy,100
acrux,acrux,100
adbri,adbri,100
admiralty resources nl,admiralty resources nl,100
aed oil,aed oil,100
agl energy,agl energy,100
air new zealand,air new zealand,100
aj lucas,aj lucas,100
albidon,albidon,100
ale property,ale property,100
allco finance,allco finance,100
alliance resources,alliance resources,100
als,als,100
alumina,alumina,100
amcor plc,amcor plc,100
amp,amp,100
andean resources,andean resources,100
anglogold ashanti,anglogold ashanti,100
ansell,ansell,100
anvil mining,anvil mining,100
apa,apa,100
apa sub,apa sub,100
apex minerals nl,apex minerals nl,100
apn european retail property,apn european retail property,100
apn property,apn property,100
aquarius platinum,aquarius platinum,100
aquila resources,aquila resources,100
ardent leisure,ardent leisure,100
aristocrat leisure,aristocrat leisure,100
arrow energy,arrow energy,100
asg,asg,100
astro japan property,astro japan property,100
asx,asx,100
atlas iron,atlas iron,100
aub,aub,100
auckland international airport,auckland international airport,100
ausenco,ausenco,100
ausnet services,ausnet services,100
austal,austal,100
austar united communications,austar united communications,100
austereo,austereo,100
australasian resources,australasian resources,100
australia & new zealand banking,australia & new zealand banking,100
australian pharmaceutical industries,australian pharmaceutical industries,100
australian vintage,australian vintage,100
australian wealth management,australian wealth management,100
auswide bank,auswide bank,100
automotive,automotive,100
aveo,aveo,100
avjennings,avjennings,100
avoca resources,avoca resources,100
awe,awe,100
babcock & brown,babcock & brown,100
bank of queensland,bank of queensland,100
bannerman energy,bannerman energy,100
beach energy,beach energy,100
becton property,becton property,100
bell financial,bell financial,100
bhp,bhp,100
billabong international,billabong international,100
blackmores,blackmores,100
blackthorn resources,blackthorn resources,100
blossomvale,blossomvale,100
bluescope steel,bluescope steel,100
boart longyear,boart longyear,100
boom logistics,boom logistics,100
boral,boral,100
bougainville copper,bougainville copper,100
bradken,bradken,100
brambles,brambles,100
bravura solutions,bravura solutions,100
breville,breville,100
brickworks,brickworks,100
broadspectrum,broadspectrum,100
