
    Variable |       Sum      Mean        SD       Min       Max         N
-------------+------------------------------------------------------------
  log_scope1 |  42162.65  11.84344   2.16821  5.509388  17.58693      3560
  log_scope2 |  39980.11  11.31299  1.679785   3.73767  14.26401      3534
log_total_~s |  45377.22  12.74641  1.484991  10.82245  17.59812      3560
log_energy~n |  53004.27  14.88884  1.863998   5.26269  19.64779      3560
change_sco~1 |  14355.98  9.316019  2.304326  5.068904  14.85966      1541
change_sco~2 |  10484.22  8.707826  1.882505  3.688879  12.15687      1204
change_tot~s |  2572.031  2.136238  .2500033  1.305323  2.497895      1204
change_ene~n |  2572.031  2.136238  .2500033  1.305323  2.497895      1204
  scope1_int |  11972.86  3.363162  7.101952  .0064949  34.52135      3560
  scope2_int |  2533.144  .7115572  .8105979  .0047696  3.451127      3560
total_emis~t |  14576.79  4.094605  7.154179  .0768245  34.90974      3560
energy_con~t |  145635.9  40.90895  64.73029  .3873166  285.1771      3560
         ret |  20.26742  .0056931  .1119239 -.6587838  .8844444      3560
 carbon_beta |  36.34326  .6159875  .8876264 -.7420408  3.648364        59
     logsize |  76939.56  21.61224  1.656684  15.05668  26.22724      3560
          bm |    2689.1  .7553651  .4977802  .0729864  2.358336      3560
    leverage |   891.295  .2503638  .1626804  .0020307   .656292      3560
         mom |  28.16641  .0079119  .0321407 -.0904558  .1314476      3560
     investa | -225.1692 -.0632498    .04984 -.2382379 -.0014737      3560
         roe |  474.8113   .133374  .1406164    -.1648     .6127      3560
      logppe |  74173.39  20.83522  1.393448   15.3711  25.35165      3560
        beta |   3960.34  1.112455  .7186993     -.526      4.35      3560
       volat |  951.0007   .267135  .3112496  .0174368  2.342653      3560
     salesgr |  91.88648  .0258108  .4927693 -4.169243  1.610988      3560
       epsgr |  1430.082  .4017085  42.95844    -237.8  326.7658      3560
--------------------------------------------------------------------------
