yearmonth,rf
200807,7.25
200808,7.25
200809,7.0227272727272725
200810,6.217391304347826
200811,5.325
200812,4.345238095238095
200901,4.25
200902,3.35
200903,3.25
200904,3.0625
200905,3.0
200906,3.0
200907,3.0
200908,3.0
200909,3.0
200910,3.2045454545454546
200911,3.4761904761904763
200912,3.738095238095238
201001,3.75
201002,3.75
201003,3.9782608695652173
201004,4.223684210526316
201005,4.476190476190476
201006,4.5
201007,4.5
201008,4.5
201009,4.5
201010,4.5
201011,4.738636363636363
201012,4.75
201101,4.75
201102,4.75
201103,4.75
201104,4.75
201105,4.75
201106,4.75
201107,4.75
201108,4.75
201109,4.75
201110,4.75
201111,4.5
201112,4.2875
201201,4.25
201202,4.25
201203,4.25
201204,4.25
201205,3.7717391304347827
201206,3.5375
201207,3.5
201208,3.5
201209,3.5
201210,3.2717391304347827
201211,3.25
201212,3.026315789473684
201301,3.0
201302,3.0
201303,3.0
201304,3.0
201305,2.8043478260869565
201306,2.75
201307,2.75
201308,2.5357142857142856
201309,2.5
201310,2.5
201311,2.5
201312,2.5
201401,2.5
201402,2.5
201403,2.5
201404,2.5
201405,2.5
201406,2.5
201407,2.5
201408,2.5
201409,2.5
201410,2.5
201411,2.5
201412,2.5
201501,2.5
201502,2.275
201503,2.25
201504,2.25
201505,2.0357142857142856
201506,2.0
201507,2.0
201508,2.0
201509,2.0
201510,2.0
201511,2.0
201512,2.0
201601,2.0
201602,2.0
201603,2.0
201604,2.0
201605,1.7727272727272727
201606,1.75
201607,1.75
201608,1.5217391304347827
201609,1.5
201610,1.5
201611,1.5
201612,1.5
201701,1.5
201702,1.5
201703,1.5
201704,1.5
201705,1.5
201706,1.5
201707,1.5
201708,1.5
201709,1.5
201710,1.5
201711,1.5
201712,1.5
201801,1.5
201802,1.5
201803,1.5
201804,1.5
201805,1.5
201806,1.5
201807,1.5
201808,1.5
201809,1.5
201810,1.5
201811,1.5
201812,1.5
201901,1.5
201902,1.5
201903,1.5
201904,1.5
201905,1.5
201906,1.2763157894736843
201907,1.0217391304347827
201908,1.0
201909,1.0
201910,0.7608695652173914
201911,0.75
201912,0.75
202001,0.75
202002,0.75
202003,0.42590909090909085
202004,0.1565
202005,0.13523809523809524
202006,0.13571428571428573
202007,0.13086956521739132
202008,0.1315
202009,0.13
202010,0.13
202011,0.0561904761904762
202012,0.04047619047619048
202101,0.031052631578947366
202102,0.03
202103,0.03
202104,0.03
202105,0.03
202106,0.03
202107,0.029999999999999995
202108,0.03
202109,0.029999999999999995
202110,0.03
202111,0.03590909090909091
202112,0.04
202201,0.04631578947368421
202202,0.05
202203,0.05173913043478261
202204,0.06055555555555555
202205,0.2877272727272727
202206,0.6914285714285715
